title,author,content,category
Mumbai Police pay tribute to Lata Mangeshkar on social media,Kriti Kambiri,"The Mumbai Police department took to social media to pay tribute to late veteran singer Lata Mangeshkar, writing, ""Lata Ji, Aap chali gayin hain, noor chala gaya hai. Rest In Peace."" The singer passed away on Sunday at the age of 92 after being hospitalised for 28 days in Mumbai's Breach Candy hospital. She was admitted after contracting COVID-19.",entertainment
Many queer characters have come my way in the past: Bhumi,Kriti Kambiri,"Actress Bhumi Pednekar in an interview revealed that many characters from the queer community have come her way in the past. She added that there is a generation that needs to understand that homosexuality is not abnormal. ""I've had [queer] friends who had to go through...turmoil coming out to their family, many have still not come out,"" the actress said.",entertainment
"Got hit by a car 17 times while filming 'Uncharted', it was fun: Tom Holland ",Mahima Kharbanda,"Actor Tom Holland spoke about the most fun moment he had while shooting for 'Uncharted'. He said, ""The day I got hit by a car was...impressive...It's one of the best stunts in the movie."" ""It's a...cool thing when someone says, 'How was your day today?' And I'm like, 'Hey, I got hit by a car 17 times',"" he added.",entertainment
I had fun playing with my character in 'Malang...': Anil Kapoor,Amartya Sharma,"As 'Malang: Unleash The Madness' completed two years of its release on Monday, actor Anil Kapoor said, ""I had fun playing with my character because it was very well written."" Anil played Inspector Anjaney Agashe in this film. ""It was such a great experience collaborating with the team,"" Anil added. Aditya Roy Kapur and Disha Patani also starred in it.",entertainment
Allu Arjun a star but no one expected this: Manish on Pushpa success,Kriti Kambiri,"'Pushpa' Hindi distributor Manish Shah has said, ""We know Allu Arjun is a big star...[but] no one expected this."" He further said that the way 'Pushpa' is performing at the box office despite streaming on OTT is surprising. Manish had earlier claimed that Kartik Aaryan threatened to quit 'Shehzada' if Hindi dubbed version of 'Ala Vaikunthapurramuloo' was released in cinemas.",entertainment
I was a little girl when my dad introduced me to Lata ji's eternal songs: Hina,Mahima Kharbanda,"Actress Hina Khan has paid tribute to veteran singer Lata Mangeshkar, who passed away on Sunday. Taking to Instagram, Hina sang Lata Mangeshkar's popular tracks including Lag Ja Gale and Ajeeb Daastan. Sharing the video Hina said, ""My father introduced me to Lata ji's eternal songs when I was just a little girl. He was a fan himself.""",entertainment
Fight Club's original ending restored in China amid criticism,Kriti Kambiri,"The original ending of 1999 film 'Fight Club' has been restored in China by streamer Tencent Video amid criticism. Earlier, the ending was edited due to censorship laws to show that authorities won. The climax was cut out and replaced by a message saying that police foiled the plot, arrested the criminals and sent Tyler Durden to a lunatic asylum.",entertainment
Pete Davidson booed in Syracuse after earlier calling city 'trash',Kriti Kambiri,"Comedian Pete Davidson on Saturday was booed at Syracuse's Carrier Dome during a basketball game after appearing on the jumbotron. He had earlier called the city 'trash'. Pete was seen laughing and clapping amid the booing. Sportswriter Mike Curtis later posted a video of Pete saying, ""Thank you so much for having me...We had a really great time. So, peace?""",entertainment
Don't think anyone can do it better than him: Iulia on Salman hosting Bigg Boss,Mahima Kharbanda,"Speaking about appearing on 'Bigg Boss 15', actor-model Iulia Vantur called it a great experience.  She also praised her actor-friend Salman Khan's hosting skills. Iulia said, ""Salman is a great host and I don't think anyone else can do the job better than he does,"" she added. ""It is very fun and entertaining to watch Bigg Boss,"" Iulia said.",entertainment
Pics said to be showing Tom Cruise as Iron Man variant go viral,Kriti Kambiri,"Pictures of actor Tom Cruise in front of a green screen sporting a goatee are going viral. The pictures are said to be leaked from the sets of upcoming film 'Doctor Strange in the Multiverse of Madness'. While a few social media users claim that Tom will be portraying a variant of Iron Man, others are calling the pictures fake.",entertainment
"I've seen craze for her, but for me she was my atya: Padmini on Lata",Kriti Kambiri,"Actress Padmini Kolhapure has said that she has seen the craze for her aunt late veteran singer Lata Mangeshkar, adding that she was like a goddess in US. ""For me, she was my atya (aunt),"" Padmini said. The actress added, ""[My son] couldn't believe [he was related to her]. He was like 'Is she my aaji (grandmother)?' He was ecstatic.""",entertainment
I was expecting more Black women to win Oscar Best Actress: Halle,Amartya Sharma,"Hollywood actress Halle Berry has said that she feels ""completely heartbroken"" as no other Black actress won an Oscar for Best Actress since her win in 2002. Halle became the first black actress to win an Oscar for Best Actress in 2002 for her performance in the film 'Monster's Ball'. ""I thought...there would be other women...That didn't happen,"" she added.",entertainment
Lata Mangeshkar offered to cook mutton for me in our last call: Roop,Amartya Sharma,"Singer Roop Kumar Rathod recalled his last phone call with late singer Lata Mangeshkar, which took place on December 28 last year, and added the 92-year-old offered to cook mutton for him. ""I told her...'I've turned vegetarian. But the day I start having it, please send me the mutton you prepare'. She said, 'I will send green mutton',"" he stated.",entertainment
"MP govt to set up music academy, museum in Lata Mangeshkar's memory",Kriti Kambiri,"The Madhya Pradesh government on Monday announced the establishment of a music academy and a museum showcasing late veteran singer Lata Mangeshkar's songs at her birthplace Indore. A statue of the singer will also be installed in the city. Chief Minister Shivraj Singh Chouhan called her the daughter of Madhya Pradesh, adding that her heart throbbed for the state.",entertainment
Amitabh shares old video of him introducing Lata Mangeshkar at an event,Udit Gupta,"Amitabh Bachchan on Monday took to Instagram to share a throwback video where he is seen introducing Lata Mangeshkar at an event. In the video, Amitabh called Lata Mangeshkar an avatar of Goddess Saraswati. ""She has left us...the voice of a million centuries has left us...she resounds now in the heavens,"" Amitabh captioned the post.",entertainment
Sidharth only Indian actor with 160mn views of 5 consecutive songs,Kriti Kambiri,Actor Sidharth Malhotra has become the only Indian actor whose five consecutive song videos have over 160 million views on YouTube. 'Shershaah' song 'Raataan Lambiyan' garnered over 520 million views while 'Thoda Thoda Pyaar' has over 365 million views. Song 'Tum Hi Aana' from 'Marjaavaan' has over 710 million views and 'Ranjha' from 'Shershaah' has over 222 million views.,entertainment
Alia's 'Gangubai Kathiawadi' to have 5 screenings at Berlinale,Kriti Kambiri,Alia Bhatt-starrer 'Gangubai Kathiawadi' will be screened five times between February 16 and February 20 at 72nd Berlin International Film Festival (Berlinale). This will be filmmaker Sanjay Leela Bhansali's first film to premiere at Berlinale. 'Gangubai Kathiawadi' will be Alia's third film to screen at the festival after 'Highway' and 'Gully Boy'. It has a run time of 152 minutes.,entertainment
Vicky replaces Shahid in film based on Mahabharat's Karna: Report,Udit Gupta,"Vicky Kaushal has reportedly replaced Shahid Kapoor in filmmaker Rakeysh Omprakash Mehra's upcoming film based on Mahabharat's Karna. According to the report, the mythological-drama will be narrated from the perspective of Karna. Vicky will play another Mahabharat character Ashwatthama in filmmaker Aditya Dhar's next film 'The Immortal Ashwatthama'.",entertainment
"Kabir Bedi was like my first crush, I still admire him: Iulia Vantur",Amartya Sharma,"Actor-model Iulia Vantur revealed that actor Kabir Bedi was her ""first crush"" and liked him since she was a child.  ""We use to watch him in Romania [in] series called 'Sandokan'...I used to admire him very very much and I still do,"" she stated. ""I remember once I met him and it was like big joy for me,"" she added.",entertainment
Ranveer and I will complete 10 years together this year: Deepika,Mahima Kharbanda,"During an interview, when she was asked what love means to her now, actress Deepika Padukone said, for her, love is companionship and trust. She added, ""I think we (Ranveer Singh and I) will complete 10 years [of being] together [this year]."" ""To know...I can truly be myself without being judged...those are the values...I really hold onto,"" Deepika said.",entertainment
